City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,23.02,broken clouds
143,Omsukchan,RU,62.5333,155.8,56.61,42,29,6.51,scattered clouds
144,Marzuq,YE,14.4,46.4667,80.6,46,85,7.2,overcast clouds
145,Dong Hoi,VN,17.4833,106.6,83.07,70,12,2.42,few clouds
146,Salina Cruz,MX,16.1667,-95.2,82.2,75,83,6.31,broken clouds
147,Marsa Matruh,EG,31.3525,27.2453,77.31,69,0,5.82,clear sky
148,Pisco,PE,-13.7,-76.2167,62.65,82,20,9.22,few clouds
149,Bodden Town,KY,19.2833,-81.25,86.0,75,20,13.8,few clouds
150,Provideniya,RU,64.3833,-173.3,46.51,100,100,4.47,drizzle
151,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.0,86,52,6.26,broken clouds
152,Airai,TL,-8.9266,125.4092,61.52,59,62,5.08,broken clouds
153,Tiksi,RU,71.6872,128.8694,67.68,59,34,6.64,scattered clouds
154,Mongoumba,CF,3.6415,18.5936,70.38,97,100,1.52,light rain
155,Valdivia,CL,-39.8142,-73.2459,41.09,92,71,0.98,broken clouds
156,Linjiang,CN,41.8069,126.9078,75.76,78,60,1.36,broken clouds
157,Iqaluit,CA,63.7506,-68.5145,55.13,58,75,2.3,broken clouds
158,Koumac,NC,-20.5667,164.2833,74.37,65,100,11.34,overcast clouds
159,Islamkot,PK,24.6997,70.177,80.1,84,69,12.68,broken clouds
160,Oranjemund,NA,-28.55,16.4333,52.14,88,0,4.7,clear sky
161,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.48,78,0,10.25,clear sky
162,Butaritari,KI,3.0707,172.7902,81.21,78,13,15.23,light rain
163,Lasa,IT,46.6166,10.7002,63.48,91,55,1.99,broken clouds
164,Vila Velha,BR,-20.3297,-40.2925,67.95,89,40,0.0,scattered clouds
165,Muli,MV,2.9167,73.5667,82.22,73,100,16.2,overcast clouds
166,Lorengau,PG,-2.0226,147.2712,85.06,69,37,11.48,scattered clouds
167,Miandrivazo,MG,-19.5167,45.4667,66.67,74,0,2.64,clear sky
168,Nikolskoye,RU,59.7035,30.7861,57.09,96,92,4.38,overcast clouds
169,Bordighera,IT,43.7806,7.6645,80.55,66,1,5.35,clear sky
170,Henderson,US,36.0397,-114.9819,98.83,41,0,9.22,thunderstorm
171,Oussouye,SN,12.485,-16.5469,78.89,83,92,5.97,overcast clouds
172,Sorland,NO,67.667,12.6934,49.86,79,71,13.44,broken clouds
173,Tuatapere,NZ,-46.1333,167.6833,44.26,94,100,0.78,overcast clouds
