City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Lagoa,PT,39.05,-27.9833,72.68,89,10,11.68,clear sky
181,Wanaka,NZ,-44.7,169.15,40.62,99,100,1.39,overcast clouds
182,Oswego,US,43.4501,-76.1497,67.35,92,1,2.55,clear sky
183,Narsaq,GL,60.9167,-46.05,52.02,90,24,1.23,few clouds
184,Thinadhoo,MV,0.5333,72.9333,75.4,95,100,11.03,overcast clouds
185,Sidi Ali,DZ,36.0998,0.4206,74.88,74,0,4.7,clear sky
186,Port Moresby,PG,-9.4431,147.1797,82.17,73,79,12.03,broken clouds
187,Alekseyevsk,RU,57.8406,108.3492,65.86,66,100,3.58,overcast clouds
188,Alihe,CN,50.5667,123.7167,72.64,85,100,4.27,overcast clouds
189,Cayenne,GF,4.9333,-52.3333,76.08,1,0,2.3,clear sky
190,Pingzhuang,CN,42.0372,119.2889,77.97,63,100,12.57,overcast clouds
191,Sunrise Manor,US,36.2111,-115.0731,94.51,35,0,11.5,clear sky
192,Ribeira Grande,PT,38.5167,-28.7,74.14,85,38,8.72,scattered clouds
193,Sur,OM,22.5667,59.5289,81.19,77,82,15.01,broken clouds
194,Katsuura,JP,35.1333,140.3,84.22,81,62,15.12,broken clouds
195,Severo-Kurilsk,RU,50.6789,156.125,55.02,82,98,5.19,overcast clouds
196,Calatayud,ES,41.3535,-1.6432,62.74,64,0,2.77,clear sky
197,Labuhan,ID,-6.8844,112.2051,81.66,65,18,7.47,few clouds
198,Ushtobe,KZ,45.2514,77.9838,83.68,12,0,1.92,clear sky
199,Port Blair,IN,11.6667,92.75,84.24,79,75,6.91,broken clouds
200,Pisco,PE,-13.7,-76.2167,60.85,88,75,4.61,mist
201,Latur,IN,18.4,76.5833,73.53,88,100,5.39,overcast clouds
202,Hofn,IS,64.2539,-15.2082,50.59,89,100,2.35,overcast clouds
203,Grindavik,IS,63.8424,-22.4338,54.9,100,100,18.41,light intensity drizzle
204,Bethel,US,41.3712,-73.414,72.75,73,0,3.44,clear sky
205,Freeport,US,40.6576,-73.5832,79.18,60,0,13.8,clear sky
206,Jamestown,US,42.097,-79.2353,64.71,85,85,0.72,overcast clouds
207,Santa Fe,AR,-31.6333,-60.7,76.01,65,31,5.99,light rain
208,Cariati,IT,39.4922,16.9594,79.83,53,0,9.82,clear sky
209,Eyl,SO,7.9803,49.8164,77.43,67,22,23.15,few clouds
210,Ruwi,OM,23.5996,58.5507,83.89,74,90,6.42,overcast clouds
211,Batsfjord,NO,70.6345,29.7185,60.58,94,100,4.61,moderate rain
212,Maniitsoq,GL,65.4167,-52.9,40.59,92,79,8.08,broken clouds
213,Bandarbeyla,SO,9.4942,50.8122,77.86,68,11,26.51,few clouds
214,Sorong,ID,-0.8833,131.25,83.97,70,77,7.2,broken clouds
215,Rabat,MA,33.9911,-6.8401,72.16,100,75,3.44,broken clouds
216,Portland,US,45.5234,-122.6762,101.53,34,0,6.91,clear sky
217,Chokurdakh,RU,70.6333,147.9167,59.83,34,19,10.09,few clouds
218,Andenes,NO,69.3143,16.1194,51.93,100,100,16.11,light intensity drizzle
219,Port Hardy,CA,50.6996,-127.4199,67.84,78,25,6.87,scattered clouds
220,Quang Ngai,VN,15.1167,108.8,90.46,52,10,3.2,clear sky
221,Aransas Pass,US,27.9095,-97.15,86.02,79,0,11.5,clear sky
222,Avera,US,33.194,-82.5271,81.91,65,99,5.1,overcast clouds
223,Jiaojiang,CN,28.6803,121.4428,93.99,54,2,8.79,clear sky
224,Terra Santa,BR,-2.1042,-56.4869,76.57,72,73,2.75,broken clouds
225,Peniche,PT,39.3558,-9.3811,65.28,86,0,20.04,clear sky
226,Lodwar,KE,3.1191,35.5973,77.18,48,93,15.5,overcast clouds
227,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,75.22,45,52,7.76,broken clouds
228,Bayan,CN,46.0833,127.4,85.19,61,62,4.99,broken clouds
229,Tommot,RU,58.9564,126.2925,80.65,40,7,7.49,clear sky
230,Auch,FR,43.65,0.5833,59.45,99,0,6.44,clear sky
231,Resplendor,BR,-19.3256,-41.2553,69.1,81,87,1.86,overcast clouds
232,Capitan Bado,PY,-23.2667,-55.5333,68.04,50,2,7.74,clear sky
233,Fortuna,US,40.5982,-124.1573,62.92,81,34,4.0,scattered clouds
234,Voloshka,RU,61.3314,40.0858,63.32,78,97,5.32,overcast clouds
235,Haines Junction,CA,60.7522,-137.5108,65.3,48,98,8.03,overcast clouds
236,Yinchuan,CN,38.4681,106.2731,77.72,37,0,16.35,clear sky
237,Pouembout,NC,-21.1333,164.9,80.29,49,0,2.77,clear sky
238,Callaway,US,30.153,-85.5699,83.91,82,0,3.44,clear sky
239,Nagapattinam,IN,10.7667,79.8333,81.41,73,3,4.18,clear sky
240,Lavrentiya,RU,65.5833,-171.0,43.32,76,78,13.42,broken clouds
241,Mwene-Ditu,CD,-7.0,23.45,65.82,42,85,4.83,overcast clouds
242,Bairnsdale,AU,-37.8333,147.6167,58.05,72,28,5.01,scattered clouds
243,Port-Cartier,CA,50.0334,-66.8654,63.75,79,71,5.57,broken clouds
244,Necochea,AR,-38.5473,-58.7368,51.87,95,100,3.91,overcast clouds
245,Ranot,TH,7.7777,100.3213,83.19,75,71,6.38,broken clouds
246,Tamandare,BR,-8.7597,-35.1047,73.58,86,98,10.07,overcast clouds
247,Wladyslawowo,PL,54.7909,18.4009,55.94,72,12,13.18,few clouds
248,Sungaipenuh,ID,-2.0833,101.3833,73.31,67,92,2.68,overcast clouds
249,Castro,BR,-24.7911,-50.0119,54.55,81,2,4.23,clear sky
250,Skjervoy,NO,70.0311,20.9714,55.4,98,100,12.44,light rain
251,Taybad,IR,34.74,60.7756,79.12,44,0,17.27,clear sky
252,Mutare,ZW,-18.9707,32.6709,48.79,94,0,1.88,clear sky
