City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Westport,US,78.44,overcast clouds,41.1415,-73.3579,The Westport Inn
437,Zhangye,CN,79.14,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
439,Teguise,ES,70.02,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
443,Kisangani,CD,70.48,overcast clouds,0.5167,25.2,Grand Ramela Hotel
447,Matara,LK,74.86,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
451,La Ronge,CA,71.85,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
462,Chernyshevskiy,RU,79.14,clear sky,63.0128,112.4714,Chernyseyskiy
487,Waddan,LY,79.11,clear sky,29.1614,16.139,محل الشريف محمد العايب
490,Isangel,VU,75.31,overcast clouds,-19.55,169.2667,Tanna Lodge
491,Gboko,NG,70.86,moderate rain,7.3179,8.9951,Mavillah Apartment and Suites
492,Ciudad Del Maiz,MX,70.52,broken clouds,22.4,-99.6,Hotel Casona del General
496,Kismayo,SO,75.18,overcast clouds,-0.3582,42.5454,Agan-Hotel
501,Lethem,GY,73.65,overcast clouds,3.3803,-59.7968,Savannah Inn
502,Algeciras,ES,73.08,clear sky,36.1333,-5.4505,AC Hotel by Marriott Algeciras
503,Kemin,KG,73.65,few clouds,42.7846,75.6892,Hotel Kok-Oirok
504,Chake Chake,TZ,71.64,scattered clouds,-5.2459,39.7666,Hotel Archipelago
506,Vila Do Maio,CV,79.74,overcast clouds,15.1333,-23.2167,Hotel Marilu
510,Tautira,PF,76.84,light rain,-17.7333,-149.15,Pension Oaoa
512,Raigarh,IN,79.75,overcast clouds,21.9,83.4,Hotel Shivam
514,Manggar,ID,79.59,moderate rain,-2.8833,108.2667,Guest Hotel
515,Sabana Grande De Boya,DO,70.65,clear sky,18.945,-69.7933,Balcones De Boya
517,Sungairaya,ID,78.13,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
518,Tortoli,IT,78.62,scattered clouds,39.9256,9.6572,Hotel La Bitta
522,Mashhad,IR,77.14,clear sky,36.297,59.6062,Khanye Sabz Hotel
524,Bandarbeyla,SO,76.73,overcast clouds,9.4942,50.8122,JABIR HOTEL
533,Tevaitoa,PF,78.69,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
537,Meulaboh,ID,76.59,moderate rain,4.1363,96.1285,Kost Pria
